Time,Strain,Avg,Stdev
0,sst2,1,0
5,sst2,1.136836617,0.093891474
10,sst2,1.287260363,0.173637207
15,sst2,1.46830651,0.285112972
20,sst2,1.743783615,0.372764424
25,sst2,1.969451107,0.487472934
30,sst2,2.238040313,0.61199152
35,sst2,2.562568395,0.72005169
40,sst2,2.882723592,0.845899757
45,sst2,3.173243545,0.925243865
50,sst2,3.492047487,1.030842166
55,sst2,3.777006364,1.11674734
60,sst2,4.085647941,1.204006772
65,sst2,4.371033895,1.287630415
70,sst2,4.665376285,1.377280415
75,sst2,4.850383492,1.468562867
80,sst2,5.073137537,1.514584488
0,wt,1,0
5,wt,1.072775627,0.091156705
10,wt,1.20333602,0.149698489
15,wt,1.355571185,0.237672082
20,wt,1.502573083,0.328561087
25,wt,1.681676656,0.423660031
30,wt,1.891335835,0.515157099
35,wt,2.093009985,0.600348589
40,wt,2.259807195,0.684848765
45,wt,2.475061162,0.76737933
50,wt,2.66202205,0.830651224
55,wt,2.895605995,0.908921268
60,wt,3.101004554,0.980647254
65,wt,3.285257686,1.022675862
70,wt,3.455389805,1.056388576
75,wt,3.652235504,1.102441069
80,wt,3.839014902,1.139397729
0,gpa1,1,0
5,gpa1,1.057324608,0.081649937
10,gpa1,1.168357116,0.145783469
15,gpa1,1.295125814,0.230393424
20,gpa1,1.431063874,0.320726594
25,gpa1,1.614628111,0.405130275
30,gpa1,1.759504841,0.499426058
35,gpa1,1.891254391,0.568510477
40,gpa1,2.105129522,0.688657933
45,gpa1,2.268349052,0.792494754
50,gpa1,2.468348993,0.890582641
55,gpa1,2.635298516,0.981868046
60,gpa1,2.78459101,1.034797613
65,gpa1,2.946032673,1.09631276
70,gpa1,3.113484736,1.170516324
75,gpa1,3.314268706,1.256349346
80,gpa1,3.466326984,1.311087359
