state,university.college,campus,student_enrollment,violent_crime,murder_and_nonnegligent_manslaughter,rape_revised_definition,rape_legacy_definition,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson
ALABAMA,Alabama A&M University,NA,5333,12,0,2,NA,3,7,78,1,75,2,NA
ALABAMA,Jacksonville State University,NA,8659,7,0,0,NA,0,7,59,9,50,0,NA
ALABAMA,Samford University,NA,4933,3,0,0,NA,0,3,46,8,34,4,NA
ALABAMA,Tuskegee University,NA,3103,5,0,0,NA,1,4,112,12,97,3,NA
ALABAMA,University of Alabama:,Birmingham,18698,24,0,2,NA,3,19,395,5,379,11,NA
ALABAMA,University of Alabama:,Huntsville,7348,10,0,1,NA,1,8,73,18,55,0,NA
ALABAMA,University of Alabama:,Tuscaloosa,36047,15,0,3,NA,9,3,359,36,316,7,NA
ALABAMA,University of South Alabama,NA,15805,21,0,1,NA,3,17,165,28,136,1,NA
ALASKA,University of Alaska:,Anchorage,17151,4,0,1,NA,0,3,95,4,88,3,0
ALASKA,University of Alaska:,Fairbanks,8620,3,0,2,NA,0,1,50,3,44,3,0
ARIZONA,Arizona State University,Main Campus,83260,35,0,9,NA,6,20,1045,78,946,21,3
ARIZONA,Central Arizona College,NA,5937,1,0,1,NA,0,0,20,8,12,0,0
ARIZONA,Northern Arizona University,NA,27705,28,1,20,NA,0,7,274,21,252,1,0
ARIZONA,Pima Community College,NA,28070,1,0,0,NA,1,0,87,5,79,3,0
ARIZONA,University of Arizona,NA,42236,25,0,17,NA,2,6,598,32,551,15,1
ARIZONA,Yavapai College,NA,7842,0,0,0,NA,0,0,4,0,4,0,0
ARKANSAS,Arkansas State University:,Beebe,4140,0,0,0,NA,0,0,7,0,7,0,0
ARKANSAS,Arkansas State University:,Jonesboro,13144,11,0,4,NA,2,5,76,8,68,0,0
ARKANSAS,Arkansas Tech University,NA,12002,6,0,5,NA,0,1,83,7,74,2,0
ARKANSAS,Henderson State University,NA,3627,1,0,1,NA,0,0,47,7,39,1,0
ARKANSAS,Southern Arkansas University,NA,3546,0,0,0,NA,0,0,13,4,9,0,0
ARKANSAS,University of Arkansas:,Fayetteville,26237,9,1,7,NA,0,1,176,10,123,43,0
ARKANSAS,University of Arkansas:,Little Rock,11645,8,0,1,NA,3,4,85,1,84,0,0
ARKANSAS,University of Arkansas:,Medical Sciences,2890,2,0,0,NA,1,1,103,2,96,5,0
ARKANSAS,University of Arkansas:,Monticello,3854,0,0,0,NA,0,0,21,1,20,0,0
ARKANSAS,University of Arkansas:,Pine Bluff,2513,0,0,0,NA,0,0,77,9,67,1,0
CALIFORNIA,Allan Hancock College,NA,11047,0,0,0,NA,0,0,21,2,18,1,0
CALIFORNIA,California State Polytechnic University:,Pomona,23966,6,0,4,NA,1,1,173,5,150,18,1
CALIFORNIA,California State Polytechnic University:,San Luis Obispo5,20186,3,0,2,NA,0,1,163,7,149,7,1
CALIFORNIA,California State University:,Bakersfield,8720,1,0,0,NA,0,1,78,12,65,1,0
CALIFORNIA,California State University:,Channel Islands,5879,2,0,0,NA,1,1,62,7,54,1,0
CALIFORNIA,California State University:,Chico5,17287,7,0,3,NA,1,3,254,13,235,6,2
CALIFORNIA,California State University:,Dominguez Hills,14687,4,0,0,NA,0,4,72,5,65,2,0
CALIFORNIA,California State University:,East Bay,14823,2,0,2,NA,0,0,97,11,80,6,0
CALIFORNIA,California State University:,Fresno,23179,13,0,3,NA,3,7,267,43,209,15,1
CALIFORNIA,California State University:,Fullerton5,38128,8,0,3,NA,1,4,248,22,218,8,0
CALIFORNIA,California State University:,Long Beach5,36809,6,0,4,NA,1,1,148,12,129,7,0
CALIFORNIA,California State University:,Los Angeles5,24488,14,0,2,NA,0,12,147,23,119,5,0
CALIFORNIA,California State University:,Monterey Bay,6631,12,0,6,NA,0,6,35,8,24,3,0
CALIFORNIA,California State University:,Northridge,40131,7,0,3,NA,2,2,302,16,278,8,0
CALIFORNIA,California State University:,Sacramento,29349,12,0,2,NA,5,5,195,7,186,2,1
CALIFORNIA,California State University:,San Bernardino,18952,8,0,2,NA,5,1,104,3,80,21,0
CALIFORNIA,California State University:,San Jose5,32713,29,0,2,NA,5,22,442,30,397,15,1
CALIFORNIA,California State University:,San Marcos,12154,7,0,7,NA,0,0,59,2,57,0,0
CALIFORNIA,California State University:,Stanislaus,9045,2,0,2,NA,0,0,72,1,70,1,0
